bench_id,bench_name,scheduling_pool,sequence,order_number,material,material_description,customer,is_australia,priority,scheduled_start,scheduled_finish,target_finish_day_offset,bench_remaining_minutes,sap_remaining_minutes,adjusted_remaining_minutes,staffing_factor,staffing_override_people,planned_start_minute,planned_finish_minute,planned_start_time,planned_finish_time,planned_finish_day_offset,due_status,due_delta_days,due_message,bench_work_centres,bench_operations,system_status,user_status,override_type,override_note,assignment_source,assignment_source_label,assignment_reason,queue_stability,schedule_confidence,confidence_reason,live_active,live_started_at,live_started_remaining_minutes,live_elapsed_minutes,live_sap_refresh_at
LV01,LVPA Bench 1,LVPA,8,200234460296,EB9973-000,BAH-038080982,SSE Stock Ltd,no,5,31.07.2026,31.07.2026,2,288,288,288,1.0000,,1740,2028,Tue 04/08 07:45,Tue 04/08 13:28,4,LATE,2,Late by 2 working days,LVPA-2 / LVPA-5,0010 → 0020,REL  PRT  PRC  BASC BCRQ MACM MSCP SETC,PREP,,,OPTIMISED,Optimised,"The order remains late, but this bench produced the strongest overall result among compatible benches. The immediately preceding work uses the same material. The next-best bench, LV02, would create more due-date risk.",FLEXIBLE,ATTENTION,The predicted finish is later than the SAP scheduled finish day.,,,,,
LV01,LVPA Bench 1,LVPA,9,200234460338,EB9975-000,BAH-038080984,SSE Stock Ltd,no,5,31.07.2026,31.07.2026,2,84,84,84,1.0000,,2028,2112,Tue 04/08 13:28,Tue 04/08 14:52,4,LATE,2,Late by 2 working days,LVPA-2 / LVPA-5,0010 → 0020,REL  PRT  PRC  BASC BCRQ MACM MSCP SETC,PREP,,,OPTIMISED,Optimised,"The order remains late, but this bench produced the strongest overall result among compatible benches. The next-best bench, LV02, would create more due-date risk.",FLEXIBLE,ATTENTION,The predicted finish is later than the SAP scheduled finish day.,,,,,
LV01,LVPA Bench 1,LVPA,10,200234418538,ED0001-000,BAH-038081009,Wolseley UK Limited,no,5,31.07.2026,31.07.2026,2,13,13,13,1.0000,,2112,2125,Tue 04/08 14:52,Tue 04/08 15:05,4,LATE,2,Late by 2 working days,LVPA-5,0010 → 0030,REL  PRT  PRC  BASC BCRQ GMPS MACM SETC,COMP PREP,,,OPTIMISED,Optimised,"The order remains late, but this bench produced the strongest overall result among compatible benches. The next-best bench, LV02, would create more due-date risk.",FLEXIBLE,ATTENTION,The predicted finish is later than the SAP scheduled finish day.,,,,,
LV01,LVPA Bench 1,LVPA,11,200234490392,ER3075-000,BAH-038081687,Cable Services Ltd,no,5,31.07.2026,31.07.2026,2,206,206,206,1.0000,,2125,2331,Tue 04/08 15:05,Wed 05/08 09:41,5,LATE,3,Late by 3 working days,LVPA-2 / LVPA-5,0005 → 0010,REL  PRT  PRC  BASC BCRQ MACM SETC,PREP,,,OPTIMISED,Optimised,"The order remains late, but this bench produced the strongest overall result among compatible benches. The next-best bench, LV02, would create more due-date risk.",FLEXIBLE,ATTENTION,The predicted finish is later than the SAP scheduled finish day.,,,,,
LV01,LVPA Bench 1,LVPA,12,200234476380,EB9988-000,BAH-038080997,SSE Stock Ltd,no,5,03.08.2026,03.08.2026,3,537,537,537,1.0000,,2331,2868,Wed 05/08 09:41,Thu 06/08 10:53,6,LATE,3,Late by 3 working days,LVPA-2 / LVPA-5,0010 → 0025,REL  PRT  PRC  BASC BCRQ MACM MSCP SETC,PREP,,,OPTIMISED,Optimised,"The order remains late, but this bench produced the strongest overall result among compatible benches. The next-best bench, LV02, would create more due-date risk.",FLEXIBLE,ATTENTION,The predicted finish is later than the SAP scheduled finish day.,,,,,
LV02,LVPA Bench 2,LVPA,1,200234519786,CM0111-000,BAH-028000535,TE Connectivity Argentina SRL,no,5,27.07.2026,27.07.2026,-2,66,66,66,1.0000,,275,341,13:15,14:21,0,LATE,2,Late by 2 working days,LVPA-5,0050,REL  PRT  PRC  BASC BCRQ GMPS MACM RESA*,COMP PREP,AUTO LOCK,Preserved from previous schedule to stabilise the near-term queue,STABLE,Stable Queue,LINEUP preserved this order on LV02 because it was the next automatic order in the previous plan.,STABLE NEXT,ATTENTION,The predicted finish is later than the SAP scheduled finish day.,,,,,
LV02,LVPA Bench 2,LVPA,2,200234496056,EB9970-000,BAH-038080979,SSE Stock Ltd,no,5,30.07.2026,30.07.2026,1,289,289,289,1.0000,,341,630,14:21,Thu 30/07 10:30,1,ON TARGET,0,Finishes on scheduled working day,LVPA-5,0010,REL  PRT  PRC  BASC BCRQ GMPS MACM MSCP*,COMP PREP,,,OPTIMISED,Optimised,"This bench gives an on-time predicted finish. The next-best bench, LV01, would create more due-date risk.",FLEXIBLE,MEDIUM,"The current automatic plan is on target, but later automatic queue positions may still be re-optimised.",,,,,
LV02,LVPA Bench 2,LVPA,3,200234510163,EB9971-000,BAH-038080980,SSE Stock Ltd,no,5,30.07.2026,30.07.2026,1,250,250,250,1.0000,,630,880,Thu 30/07 10:30,Thu 30/07 15:25,1,ON TARGET,0,Finishes on scheduled working day,LVPA-5,0010 → 0030,REL  PRT  PRC  BASC BCRQ GMPS MACM MSCP*,COMP PREP,,,OPTIMISED,Optimised,"This bench gives an on-time predicted finish. The next-best bench, LV01, would create more due-date risk.",FLEXIBLE,MEDIUM,"The current automatic plan is on target, but later automatic queue positions may still be re-optimised.",,,,,
LV02,LVPA Bench 2,LVPA,4,200234519840,EB9997-000,BAH-038081006,SSE Stock Ltd,no,5,30.07.2026,30.07.2026,1,72,72,72,1.0000,,880,952,Thu 30/07 15:25,Fri 31/07 07:47,2,LATE,1,Late by 1 working day,LVPA-5,0010 → 0030,REL  PRT  PRC  BASC BCRQ GMPS MACM MSCP*,COMP PREP,,,OPTIMISED,Optimised,"No evaluated option fully recovered the order; this bench produced the strongest overall result. The next-best bench, LV01, would finish later.",FLEXIBLE,ATTENTION,The predicted finish is later than the SAP scheduled finish day.,,,,,
LV02,LVPA Bench 2,LVPA,5,200234510162,EB9999-000,BAH-038081008,SSE Stock Ltd,no,5,30.07.2026,30.07.2026,1,282,282,282,1.0000,,952,1234,Fri 31/07 07:47,Fri 31/07 12:39,2,LATE,1,Late by 1 working day,LVPA-5,0010 → 0030,REL  PRT  PRC  BASC BCRQ GMPS MACM MSCP*,COMP PREP,,,OPTIMISED,Optimised,"No evaluated option fully recovered the order; this bench produced the strongest overall result. The next-best bench, LV01, would create more due-date risk.",FLEXIBLE,ATTENTION,The predicted finish is later than the SAP scheduled finish day.,,,,,
